,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Stephanie Soares,2000-04-17,"1,98",BRA,C,22-23,Iowa St.,NCAA1,12,22.8,14.9,63.2%,33.3%,68.4%,2.9,7.2,10.1,1.3,2.3,3.1,1.2,2.8,19.8
2,Stephanie Soares,2000-04-17,"1,98",BRA,C,2024,Dallas W.,WNBA,22,8.0,1.1,36.4%,16.7%,100.0%,0.8,1.3,2.1,0.5,0.8,0.4,0.1,0.5,1.7
