,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Thayna Silva,1996-01-27,"1,80",BRA,F,17-18,SBC/Brazolin/UNIP,BRA-11,18,33.7,19.2,55.3%,14.6%,61.9%,3.1,6.0,9.1,2.9,1.9,0.6,3.2,2.7,24.3
2,Thayna Silva,1996-01-27,"1,80",BRA,F,2021,LSB RJ,BRA-11,16,33.8,20.8,53.7%,44.9%,64.9%,1.6,6.4,8.1,2.6,2.3,0.3,2.8,1.8,24.4
3,Thayna Silva,1996-01-27,"1,80",BRA,F,2022,LSB,BRA-11,15,33.7,23.5,58.2%,33.3%,66.3%,2.7,7.7,10.4,3.0,2.0,0.3,2.7,2.3,28.9
4,Thayna Silva,1996-01-27,"1,80",BRA,F,2023,LSB,BRA-11,16,33.0,16.9,47.7%,29.3%,73.6%,1.6,5.0,6.6,2.9,2.1,0.4,2.5,1.6,17.4
5,Thayna Silva,1996-01-27,"1,80",BRA,F,23-24,Celje,MZRKL-11,18,27.8,16.9,59.4%,20.0%,75.0%,2.6,5.1,7.6,2.7,1.9,0.2,3.3,1.3,19.3
6,Thayna Silva,1996-01-27,"1,80",BRA,F,23-24,Celje,SLO-11,22,24.8,14.0,58.9%,30.8%,71.3%,2.1,4.6,6.7,2.0,1.8,0.4,3.3,1.2,19.7
7,Thayna Silva,1996-01-27,"1,80",BRA,F,2024,Mesquita,BRA-11,8,36.1,18.0,51.5%,27.1%,81.3%,2.5,5.5,8.0,2.1,1.4,0.0,2.4,1.9,20.0
8,Thayna Silva,1996-01-27,"1,80",BRA,F,24-25,Celje,MZRKL-11,11,29.1,12.5,59.7%,26.1%,55.6%,1.8,4.9,6.7,2.7,2.1,0.3,3.8,1.5,15.9
9,Thayna Silva,1996-01-27,"1,80",BRA,F,24-25,Celje,SLO-11,12,23.4,18.1,70.7%,27.3%,78.8%,2.2,5.5,7.7,2.3,1.6,0.1,2.8,1.6,25.2
