,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Allanis Delboni,2002-09-28,"1,80",BRA,SG,22-23,La Spezia,ITA-12,29,19.5,4.3,41.2%,11.1%,56.5%,1.1,4.3,5.4,0.7,1.4,0.0,0.5,1.7,4.7
2,Allanis Delboni,2002-09-28,"1,80",BRA,SG,23-24,Torino,ITA-12,28,23.5,6.7,41.4%,23.1%,63.5%,1.5,4.0,5.6,0.8,1.8,0.0,1.1,1.9,7.8
