,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,João Almeida,2005-02-25,"1,95",BRA,F/G,23-24,Sampaense,POR-2,12,3.3,1.1,40.0%,50.0%,54.5%,0.0,0.3,0.3,0.0,0.4,0.0,0.0,0.1,0.7
2,João Almeida,2005-02-25,"1,95",BRA,F/G,24-25,Sampaense,POR-2,7,2.9,0.0,0.0%,0.0%,0.0%,0.0,0.4,0.4,0.1,0.6,0.0,0.0,0.1,-0.6
