Player Name,Team Name,League,Nationality,Country ,Age,Height,Pos,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT%,2PA,2PM,2P%,3PA,3PM,3P%,TO,TYPE
Almeida Icaro,Cruzeiro,CBB,Brazilian,Brazil,,,,1,2,6,2,0,0,0,3,0,1,1,4,2,50,0,0,0,1,0,0,0,
Buongermino Vincenzo,Santos,CBB,Brazilian,Brazil,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dalaqua Felipe,Osasco,CBB,Brazilian,Brazil,,,,3,3,"27,3",12,2,1,1,"2,3",0,1,3,2,"1,7",85,"4,7","1,7","36,2","8,7","2,3","26,4","1,7",
Damiao Heitor,Sorocabana,CBB,Brazilian,Brazil,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
de Oliveira Lucas,Sorocabana,CBB,Brazilian,Brazil,,,,2,"-0,5","1,5","0,5","0,5","0,5",0,0,0,0,"0,5",1,"0,5",50,0,0,0,0,0,0,"0,5",
Ferianci Gabriel,Paulistano,NBB,Brazilian,Brazil,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fernandes Nathan,Sesi Franca,NBB,Brazilian,Brazil,,,,9,4,"9,8","3,1","1,9","0,2","1,7","0,4","0,2","0,2","0,8","0,4","0,3",75,1,"0,6",60,"1,3","0,6","46,2","0,2",
Galli Evandro,Bauru,NBB,Brazilian,Brazil,,,,4,"-0,3","2,3",0,"0,3","0,3",0,"0,3",0,0,0,0,0,0,"0,5",0,0,0,0,0,"0,5",
Garcia Gabriel,U.Corinthians,NBB,Brazilian,Brazil,,,,6,"0,5","1,8","0,3","0,2","0,2",0,"0,2",0,0,0,0,0,0,"0,3","0,2","66,7",0,0,0,0,
Gomes Everton,Osasco,CBB,Brazilian,Brazil,,,,3,"9,7",25,11,"6,3","2,3",4,1,"0,7","0,3","3,7","5,3",3,"56,6","6,3",4,"63,5",0,0,0,1,
Inacio Marcos,Sorocabana,CBB,Brazilian,Brazil,,,,4,"-2,8","10,5","2,8","1,5","0,8","0,8","0,3",0,0,3,"1,8","1,3","72,2","2,3","0,8","34,8","0,5",0,0,"1,8",
Leoterio Breno,Sorocabana,CBB,Brazilian,Brazil,,,,4,"2,5","21,5","4,8",4,"2,3","1,8","0,3","0,3","0,5","2,3","0,5","0,3",60,3,"1,5",50,1,"0,5",50,"2,5",
Nardi Jose,Sao Paulo,NBB,Brazilian,Brazil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nascimento Felipe,Sao Jose,NBB,Brazilian,Brazil,,,,3,"-1,3",2,0,"0,3",0,"0,3",0,0,"0,3","0,3",0,0,0,"0,3",0,0,"0,3",0,0,1,
Passos Enzo,Santos,CBB,Brazilian,Brazil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ribeiro Matheus,Santos,CBB,Brazilian,Brazil,,,,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vinicius Marcos,Sorocabana,CBB,Brazilian,Brazil,,,,2,"-0,5","9,5","1,5",1,0,1,1,0,"0,5","1,5",2,"1,5",75,"0,5",0,0,"1,5",0,0,0,
,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,
