Player Name,Team Name,League,Nationality,Country ,Age,Height,Pos,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT%,2PA,2PM,2P%,3PA,3PM,3P%,TO,TYPE
Andrade Lucas,Botafogo,NBB,Brazilian,Brazil,20,193,G,20,"1,7","7,9",3,1,"0,4","0,7","0,5",0,"0,3",1,"0,5","0,3",60,"1,2","0,4","33,3","1,6","0,7","43,8","0,3",
Del Tedesco Alves Daniel,Corato,Serie B Interregionale,Brazilian,Italy,20,193,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Atauri Lucas,Paulistano,NBB,Brazilian,Brazil,20,192,SG,31,"1,2","10,4","3,2","1,4","0,3","1,2","0,5","0,1","0,4","1,7","0,6","0,5","83,3","1,2","0,5","41,7","1,6","0,5","31,3","0,8",
Omena Guilherme,Pinheiros,NBB,Brazilian,Brazil,20,192,G,13,"-0,7","9,3","0,8","0,5","0,2","0,3","0,6",0,"0,3","1,1",0,0,0,"0,5","0,1",20,"1,5","0,2","13,3","0,2",
Omena William,Pinheiros,NBB,Brazilian,Brazil,20,191,G,24,"1,5","10,5","2,4",1,"0,6","0,5","0,5",0,"0,3","0,9","0,3","0,3",100,"0,8","0,5","62,5","1,3","0,4","30,8","0,5",
De Costa Marco,Rosario,Superliga,Brazilian,Argentina,20,191,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Batalha Joao,Joacaba Basquete,Catarinense State,Brazilian,Brazil,20,190,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Landeira Gabriel,Corinthians,NBB,Brazilian,Brazil,20,190,PG,24,"1,2","6,4","1,7",1,"0,3","0,8","0,7",0,"0,2",1,"0,1","0,1",100,"0,8","0,4",50,"0,9","0,3","33,3","0,3",
Pereira Kaique,Corinthians,NBB,Brazilian,Brazil,20,190,G,3,"-0,3","1,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",
Morina Ygor,Imola Virtus,Serie B Nazionale,Brazilian,Italy,20,190,G,33,"3,1","12,7","2,8","2,2","0,5","1,6","0,7","0,1","0,9",1,"0,6","0,3",50,"1,5","0,5","33,3","1,5","0,5","33,3","0,8",
Brandao Caio,Ponta Grossa,Parana,Brazilian,Brazil,20,188,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saturnino Pedro,Grand-Saconnex,NLB,Brazilian,Switzerland,20,188,SF,2,3,"8,5","2,5",0,0,0,"1,5",0,1,0,0,0,0,1,"0,5",50,1,"0,5",50,1,
Laurindo Kaiky,Bethesda,NCCAA,Brazilian,USA,20,188,G,,,,,,,,,,,,,,,,,,,,,,NCCAA
Flores Vinicius,Sesi Franca,NBB,Brazilian,Brazil,20,187,G,2,"0,5","2,5","1,5",0,0,0,"0,5",0,0,"0,5","0,5","0,5",100,1,"0,5",50,0,0,0,"0,5",
Knabben Luiz,Brusque,CBB,Brazilian,Brazil,20,187,G,3,"-1,3","13,7",1,"0,3","0,3",0,"0,3",0,"0,3","1,7",0,0,0,0,0,0,"1,3","0,3","23,1","0,7",
Marsili Lucas,Santos,CBB,Brazilian,Brazil,20,186,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Martins Joao,Osasco,CBB,Brazilian,Brazil,20,185,PG,5,"-0,6","3,2","0,8",0,0,0,"0,4",0,"0,4",1,"1,2","0,8","66,7","0,2",0,0,0,0,0,"0,6",
Silva Diogo,Caxias do Sul,NBB,Brazilian,Brazil,20,185,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rodrigues Daniel,Uniara/Arar.,NLB Southern Div.,Brazilian,Brazil,20,183,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gueiros Matheus,Flamengo,NBB,Brazilian,Brazil,20,182,G,2,-1,"1,5",0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,"0,5",0,0,0,
Medeiros Alex,Cerrado,NBB,Brazilian,Brazil,20,182,PG,2,"0,5","1,5",1,0,0,0,0,0,0,1,1,1,100,0,0,0,0,0,0,0,
Giacon Evandro,Bauru,NBB,Brazilian,Brazil,20,181,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vilarinho Gabriel,Brasilia,NBB,Brazilian,Brazil,20,181,PG,28,"-0,7","6,3","1,6","0,5","0,1","0,4","0,3",0,0,1,"0,4","0,3",75,"0,8","0,2",25,"1,3","0,3","23,1","0,6",
Bastos Joao,Uniara/Arar.,NLB Southern Div.,Brazilian,Brazil,20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Goncalves Calebe,Sao Paulo,NBB,Brazilian,Brazil,20,,,2,1,"1,5",0,"0,5",0,"0,5",0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,
Lima Guilherme,Uniara/Arar.,NLB Southern Div.,Brazilian,Brazil,20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reis Lucas,Vitoria,CBB,Brazilian,Brazil,20,,G,2,"-1,5",6,1,1,0,1,0,0,0,2,"0,5",0,0,"0,5","0,5",100,0,0,0,1,
Santos Miguel,Sao Paulo,NBB,Brazilian,Brazil,20,,,20,"1,5","5,5","1,8","0,6","0,3","0,4","0,1",0,"0,3","0,7","0,3","0,2","66,7","0,6","0,5","83,3","0,6","0,2","33,3","0,2",
Silva Wilton,Cearense,NBB,Brazilian,Brazil,20,,,2,"-0,5","1,5",0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,
Texeira Ricardo,Mogi,LDB U20,Brazilian,Brazil,20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lopes Gabriel,Botafogo,NBB,Brazilian,Brazil,21,205,F/C,27,"0,8","9,7","2,9","0,9","0,1","0,7","0,2",0,"0,3",1,"0,5","0,3",60,1,"0,6",60,2,"0,4",20,"0,6",
Samoel Agapy,Pinheiros,NBB,Brazilian,Brazil,21,205,F,37,"5,8","13,7","4,9","4,7","2,2","2,4","0,3","0,5","0,3",2,"1,9","1,2","63,2","3,5","1,8","51,4","0,2",0,0,"0,7",
Lima Daniel,Mogi,NBB,Brazilian,Brazil,21,204,F/C,12,"7,3","22,8","6,8","7,6","2,5","5,1","0,3","0,1","0,6","2,8","2,2","1,2","54,5","5,3","2,7","50,9","0,8","0,1","12,5",1,
Guimaraes Fernando,Cerrado,NBB,Brazilian,Brazil,21,203,PF,2,0,2,0,0,0,0,0,0,"0,5",0,0,0,0,"0,5",0,0,0,0,0,0,
Jorge Leonardo,Mogi,LDB U20,Brazilian,Brazil,21,203,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Santos Breno,Sorocabana,CBB,Brazilian,Brazil,21,203,PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Santos Vitor,Caxias do Sul,NBB,Brazilian,Brazil,21,203,PF,15,"0,9","8,7",2,"1,1","0,3","0,7","0,1","0,2","0,5","1,7","0,7","0,4","57,1","1,5","0,8","53,3",0,0,0,"0,5",
Risso Raul,Ponta Grossa,Parana,Brazilian,Brazil,21,202,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Duque Daniel,Minas,NBB,Brazilian,Brazil,21,201,SF,2,"2,5",5,1,"1,5","0,5",1,"0,5",0,"0,5","0,5",0,0,0,1,"0,5",50,0,0,0,0,
Mariano Nathan,Sesi Franca,NBB,Brazilian,Brazil,21,201,F,21,"1,9","7,5",3,1,"0,3","0,7","0,3","0,2","0,1","0,9","1,1","0,8","72,7","0,7","0,5","71,4","1,1","0,4","36,4","0,6",
Neptune Yuri,Minas,NBB,Brazilian,Brazil,21,201,F,31,"3,5","7,5","2,9","1,9","0,9",1,"0,4",0,"0,4","0,7","0,8","0,6",75,"1,4",1,"71,4","0,8","0,1","12,5","0,3",
Pellegrini Zion,Cividale,Serie C,Brazilian,Italy,21,200,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Soares Lucas,Ponta Grossa,Parana,Brazilian,Brazil,21,199,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zacharias Talles,Oaklands,NBL D2,Brazilian,United Kingdon,21,198,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nogueira Emerson,Ponta Grossa,Parana,Brazilian,Brazil,21,198,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cardoso Bruno,Paulistano,NBB,Brazilian,Brazil,21,197,F,39,"7,5","18,4","7,2","4,6","1,3","3,3","0,8","0,6","0,6","2,4","2,6","1,4","53,8","4,4","2,7","61,4","0,9","0,1","11,1","0,9",
Fernandes Emanuel,Blumenau,CBB,Brazilian,Brazil,21,197,F,3,"1,7","6,7","1,7","1,7",0,"1,7",0,0,"0,7","0,3",0,0,0,"0,3","0,3",100,"1,3","0,3","23,1","0,7",
Ibiapina Vitor,Cruzeiro,CBB,Brazilian,Brazil,21,197,SF,2,"2,5","9,5",1,2,0,2,"0,5",0,"0,5","0,5",0,0,0,1,"0,5",50,"0,5",0,0,0,
Previatti Luciano,Cordon,LUB,Brazilian,Peru,21,197,PF,16,"0,3","5,7","0,8","0,8","0,4","0,4","0,3","0,2","0,2",1,"0,1","0,1",100,"0,9","0,4","44,4","0,3",0,0,"0,1",
Almeida Yago,Botafogo,NBB,Brazilian,Brazil,21,196,SF,1,0,12,1,5,2,3,0,0,1,1,2,1,50,3,0,0,0,0,0,2,
Araujo Allan,Brasilia,NBB,Brazilian,Brazil,21,196,F,28,"2,1","19,6","4,6","2,8",1,"1,8","0,5","0,1","0,8","3,3","1,1","0,8","72,7","2,2","0,9","40,9",2,"0,7",35,"1,1",
Mendes Iago,Mogi,NBB,Brazilian,Brazil,21,196,G,34,"0,8","14,7","3,6","1,2","0,3","0,9","0,3","0,1","0,4","2,2","0,6","0,4","66,7","1,7","0,8","47,1","1,7","0,5","29,4","0,9",
Maldonado Felipe,5Basket,1.Divisao,Brazilian,Portugal,21,184,G/F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Almeida Rodrigo,Queluz,Proliga,Brazilian,Portugal,21,180,PG,3,"0,7",6,1,0,0,0,"0,3",0,"0,3","0,7",0,0,0,0,0,0,"0,7","0,3","42,9","0,3",
Sabino Lucas,Osasco,CBB,Brazilian,Brazil,21,195,SF,6,"4,2","18,2","5,2","3,5","1,3","2,2","0,8","0,2","0,2","2,5","0,3","0,3",100,"1,7","0,7","41,2","2,5","1,2",48,"0,8",
Seixas Henrique,Cerrado,NBB,Brazilian,Brazil,21,194,SF,19,"2,7","12,5","4,7","1,3","0,3",1,"0,7","0,1","0,7","1,7","0,9","0,6","66,7","2,4","1,1","45,8","1,8","0,6","33,3","0,7",
Da Silva Guilherme,Vitoria,CBB,Brazilian,Brazil,21,193,SG,2,2,"2,5",1,"1,5",1,"0,5",0,0,0,0,0,0,0,1,"0,5",50,0,0,0,0,
Santana Jose,Praia,CBB,Brazilian,Brazil,21,193,SF,1,-2,8,3,1,1,0,0,0,0,3,2,0,0,1,0,0,1,1,100,0,
Traldi Vitor,Sorocabana,CBB,Brazilian,Brazil,21,191,SF,4,"-1,5","4,5","0,8",0,0,0,0,0,0,1,0,0,0,"0,3",0,0,"0,8","0,3","37,5","0,5",
Gelascov Kaue,Sao Jose,NBB,Brazilian,Brazil,21,190,G,2,"-1,5",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0,5",0,0,0,
Barbosa Paulo,Sesi Franca,NBB,Brazilian,Brazil,21,189,G,38,"4,7","16,1",5,"1,7","0,6","1,1","1,2","0,2","0,4",1,"0,7","0,6","85,7","2,5","1,4",56,"1,6","0,5","31,3","0,8",
Leoni Matheus,Flamengo,NBB,Brazilian,Brazil,21,187,PG,13,"-0,5","5,9","0,5","0,3",0,"0,3","0,5",0,"0,6","0,8","0,2","0,2",100,"0,7","0,2","28,6","0,5",0,0,"0,5",
Motta Eduardo,Cerrado,NBB,Brazilian,Brazil,21,187,G,8,"0,5","1,9","0,6","0,3","0,3",0,"0,1",0,"0,1","0,3",0,0,0,"0,5","0,1",20,"0,1","0,1",100,0,
Gregate Felipe,Mogi,NBB,Brazilian,Brazil,21,186,PG,18,"5,1","19,7","6,2","1,9","0,9","1,1","1,2","0,1","0,9","2,1","1,6","1,1","68,8","2,9","1,7","58,6","1,7","0,6","35,3","0,7",
Queiroz Caua,Vasco da Gama,NBB,Brazilian,Brazil,21,183,G,1,8,33,3,4,1,3,9,1,1,3,0,0,0,1,0,0,4,1,25,3,
Santana Gustavo,Bauru,NBB,Brazilian,Brazil,21,183,G,13,"1,7","4,8","1,7","0,4","0,1","0,3","0,5","0,1","0,1","0,7","0,3","0,3",100,"0,4","0,2",50,"0,3","0,3",100,"0,2",
Roussenq Victor,Mogi,NBB,Brazilian,Brazil,21,182,PG,34,"0,4","8,3",2,"0,8","0,1","0,6","0,9",0,"0,2","1,4",1,"0,4",40,"0,8","0,3","37,5","0,9","0,3","33,3","0,7",
Rocha Bernardo,Pato,NBB,Brazilian,Brazil,21,180,G,2,-2,"2,5",0,0,0,0,0,0,0,"1,5",0,0,0,0,0,0,"0,5",0,0,0,
Faria Tiago,Pinheiros,NBB,Brazilian,Brazil,21,178,PG,33,4,"13,8","5,6","1,2","0,3","0,8","1,6",0,"0,2","0,8","1,7","1,4","82,4","2,6","0,9","34,6",2,"0,8",40,"0,9",
Caua Vitor,Cearense,NBB,Brazilian,Brazil,21,,,2,"-0,5","1,5",0,"0,5",0,"0,5",0,0,0,"0,5",0,0,0,0,0,0,0,0,0,"0,5",
Esdras Augusto,Vitoria,CBB,Brazilian,Brazil,21,,,2,"1,5",11,"2,5",3,"1,5","1,5",1,0,0,3,"0,5","0,5",100,2,1,50,0,0,0,"0,5",
Barbosa de Abreu Andre,Cerrado,NBB,Brazilian,Brazil,22,212,C,30,"11,5","24,2","9,8","7,1","2,3","4,8","1,2","0,5","0,2","2,1","2,1","1,5","71,4","7,9",4,"50,6","0,4","0,1",25,"1,8",
Elevi Edu,Sesi Franca,NBB,Brazilian,Brazil,22,207,C/F,37,"2,8","8,9","2,7","2,4","0,5","1,9","0,5","0,2","0,2","1,3","0,8","0,5","62,5","1,6",1,"62,5","0,5","0,1",20,"0,8",
Ribeiro Samuel,Cruzeiro,CBB,Brazilian,Brazil,22,206,G/F,6,"-1,2","8,3",1,"1,3","0,2","1,2","0,2","0,2","0,2","1,7",0,0,0,"0,7",0,0,"1,5","0,3",20,"0,3",
Silva Caique,Obras,LDD,Brazilian,Argentina,22,205,C,11,"8,9","21,3","6,7","5,3","1,8","3,5","0,5","1,5","0,4",2,"1,6","0,6","37,5","4,7","2,9","61,7","0,4","0,1",25,"1,1",
Santos Marcio,Sesi Franca,NBB,Brazilian,Brazil,22,204,F/C,38,"14,6","22,5","13,6","6,6",2,"4,6",1,"0,7","0,8","2,6",5,"3,8",76,6,"3,5","58,3",2,"0,9",45,"2,2",
Alves Murilo,Paulistano,NBB,Brazilian,Brazil,22,202,SF,7,"2,4","8,3","3,9","1,7","0,1","1,6","0,3","0,1",0,"0,9","1,6","1,1","68,8","1,1","0,3","27,3","1,7","0,7","41,2","0,4",
Macedo Joao,U.Corinthians,NBB,Brazilian,Brazil,22,202,SF,14,"-0,6","5,2","0,6","0,9","0,3","0,6","0,3","0,1","0,1","1,6","0,5","0,1",20,"0,5","0,2",40,0,0,0,"0,5",
Cruz Cassia Augusto,Butler,BEC,Brazilian,USA,22,202,SF,14,0,"3,6","0,6","0,9","0,4","0,6","0,1","0,1","0,1","0,9","0,1","0,1",100,"0,6","0,3",50,"0,4",0,0,"0,2",NCAA 1
Santos Gui,GS Warriors,,Brazilian,USA,22,202,SF,24,"3,9","8,6","3,4","2,1","0,7","1,4","0,6","0,1","0,2",1,"0,7","0,7",100,"1,2","0,8","66,7","1,1","0,4","36,4","0,3",NBA
Duque Higino,Cruzeiro,CBB,Brazilian,Brazil,22,201,SF,2,6,"9,5","6,5",0,0,0,"1,5",0,1,"0,5",1,1,100,"0,5","0,5",100,"3,5","1,5","42,9","0,5",
Santos Lukas,Mogi,NBB,Brazilian,Brazil,22,201,PF,36,"3,9",18,"5,7","2,4","1,1","1,4","0,9","0,3","0,3","2,2",1,"0,6",60,"4,4","2,1","47,7","0,8","0,3","37,5",1,
Bonatti Wanderley,TO Pari,Serie C,Brazilian,Italy,22,201,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cravero Leonardo,Caxias do Sul,NBB,Brazilian,Brazil,22,200,SF,36,5,"21,2","6,5","4,2","1,8","2,4","0,6","0,1","0,8","2,4",2,"1,2",60,"2,8","1,4",50,"3,2","0,8",25,"0,9",
Augusto Andrew,Cruzeiro,CBB,Brazilian,Brazil,22,198,F,5,"11,6","20,8","7,4",6,1,5,"3,6","0,2",2,"1,4","2,8","1,8","64,3","3,8","2,2","57,9","1,8","0,4","22,2",2,
Farias Carlos,Blumenau,CBB,Brazilian,Brazil,22,198,SF,7,"3,1","15,9","5,7","2,4","0,7","1,7","0,4","0,6","0,4","1,3","2,3","0,9","39,1","2,6","1,6","61,5",2,"0,6",30,"1,1",
Luiz Gustavo,Mogi,NBB,Brazilian,Brazil,22,198,C,22,1,"7,1","1,7","1,4","0,6","0,7","0,4",0,"0,1","0,9","0,5","0,3",60,"0,9","0,5","55,6","1,2","0,1","8,3","0,2",
Machado Gabriel,Ponta Grossa,Parana,Brazilian,Brazil,22,198,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Onwenu Daniel,Corinthians,NBB,Brazilian,Brazil,22,198,G/F,38,"6,8","22,6","7,6",4,"0,9","3,1","0,9","0,3","0,8","1,9","1,6",1,"62,5","3,9","1,9","48,7","2,9","0,9",31,"0,8",
Pereira Pedro,Londrina,Parana,Brazilian,Brazil,22,198,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Speranzini Gabriel,Pinda,CBB,Brazilian,Brazil,22,197,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brasil Tiago,Brasilia,NBB,Brazilian,Brazil,22,195,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ferrugem Luiz,Pato,NBB,Brazilian,Brazil,22,194,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abreu Arthur,Praia,CBB,Brazilian,Brazil,22,193,G,6,"4,5","27,3","6,5","3,5","0,8","2,7","0,8",0,2,"1,5",0,0,0,"2,7","1,5","55,6","5,7","1,2","21,1","1,2",
Costa Jonathan,Cerrado,NBB,Brazilian,Brazil,22,193,SF,28,3,"10,4",2,"2,7",1,"1,7","0,5",0,"0,5","0,9","1,3","0,5","38,5","1,3","0,7","53,8","0,3",0,0,"0,6",
Marcelino Luiz,Tatui/AABT,CBB,Brazilian,Brazil,22,193,SF,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Narcizio Vitor,Sao Jose,NBB,Brazilian,Brazil,22,193,F,37,2,"8,2",2,"1,3","0,7","0,6","0,3",0,"0,2","0,5","0,5","0,3",60,1,"0,5",50,"0,8","0,2",25,"0,3",
Tognozzi Diogo,Ponta Grossa,Parana,Brazilian,Brazil,22,193,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Matheus,Botafogo,NBB,Brazilian,Brazil,22,192,G,6,"-0,5","11,2","1,5","0,8","0,3","0,5","0,8",0,"0,5",2,"0,3","0,3",100,"1,3","0,3","23,1",1,"0,2",20,"0,5",
Rodrigues Luan,Botafogo,NBB,Brazilian,Brazil,22,192,G,27,1,"8,4","3,9",1,"0,5","0,5","0,3","0,1","0,4","1,7","1,4","0,7",50,"2,2","1,2","54,5","1,1","0,3","27,3","0,7",
Lauback Kalebe,Maia Basket,Proliga,Brazilian,Portugal,22,198,F,12,"0,3","8,3","1,2","1,3","0,7","0,6","0,1","0,2","0,2","0,8","0,2","0,1",50,"1,1","0,2","18,2","0,6","0,3",50,"0,4",
Santos Guilherme,Scalipus,1.Divisao,Brazilian,Portugal,22,188,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brasil Lucas,Vasco da Gama,NBB,Brazilian,Brazil,22,190,G,3,2,6,"3,7",0,0,0,"0,3",0,0,1,0,0,0,"0,3","0,3",100,"1,7",1,"58,8","0,3",
Ribeiro Dilber,Sorocabana,CBB,Brazilian,Brazil,22,190,G,8,"-0,4",7,"0,5","0,6","0,3","0,4","0,5",0,0,"1,3",0,0,0,"0,5","0,3",60,"0,3",0,0,"0,1",
Rocha Gabriel,Farense,1.Divisao,Brazilian,Portugal,22,181,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Viana Elvis,Osasco,CBB,Brazilian,Brazil,22,189,G,6,"7,5","31,3","12,3",4,"0,5","3,5",3,0,"0,5","3,3","5,8",5,"86,2","3,2","1,2","37,5","5,2","1,7","32,7","1,8",
Borges Adyel,Pinheiros,NBB,Brazilian,Brazil,22,188,PG,30,"8,4","20,3","10,8","3,3","0,9","2,4","2,8","0,2",1,"2,3","2,6",2,"76,9","5,4","2,5","46,3","4,8","1,3","27,1",2,
Silva Gustavo,Brasilia,NBB,Brazilian,Brazil,22,187,G,23,"0,3","5,5","1,2","0,7","0,3","0,4","0,2",0,"0,2","0,8","0,6","0,1","16,7","0,8","0,5","62,5","0,4",0,0,"0,2",
Campos Joao,Praia,CBB,Brazilian,Brazil,22,185,PG,4,1,13,"2,3","1,8","0,5","1,3","2,8","0,3","0,5","1,8",2,"1,3",65,"1,3","0,5","38,5","1,8",0,0,"1,5",
De Paula Joao,Ponta Grossa,Parana,Brazilian,Brazil,22,185,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ferreira Vinicius,Paulistano,NBB,Brazilian,Brazil,22,185,G,35,"1,5","17,9","3,6","1,5","0,2","1,3","2,1",0,"0,6","1,7",1,"0,6",60,2,"0,7",35,"2,3","0,6","26,1","1,4",
Abreu Leonardo,Paulistano,NBB,Brazilian,Brazil,22,184,G,13,"0,8","6,7","1,1","0,8","0,2","0,5","0,8",0,"0,2","0,7","0,8","0,2",25,"0,6","0,5","83,3","0,4",0,0,"0,3",
Mariano Gabriel,Vitoria,CBB,Brazilian,Brazil,22,176,PG,6,"1,2","18,3","2,5","1,8","0,5","1,3","1,8",0,1,1,0,0,0,"3,5",1,"28,6","0,8","0,2",25,"1,3",
Abreu Andre,Paulistano,NBB,Brazilian,Brazil,22,,,38,"7,3","21,9","7,6","4,4","1,6","2,8","1,5","0,5","0,8","1,8","2,6",2,"76,9","4,9","2,2","44,9","2,1","0,4",19,"1,2",
Rodrigues Rafael,Jena,ProA,Brazilian,Germany,23,214,PF,27,"3,5",10,"2,8","3,2","1,4","1,8","0,4","0,1","0,3","1,7",1,"0,4",40,"1,7","1,2","70,6",0,0,0,"0,7",
Ribeiro Lucas         ,Lindsey Wilson,MSC,Brazilian,USA,23,213,C,27,"7,9","17,2",6,6,"2,4","3,6","0,4","0,8","0,1",2,2,"1,3",65,"3,9","2,3",59,0,0,0,"1,2",NAIA
da Silva Vinicius,Sant Antoni,LEB Silver,Brazilian,Spain,23,212,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcassa Augusto,Botafogo,NBB,Brazilian,Brazil,23,211,F/C,31,"5,9","15,9","5,6","3,9","1,5","2,5","0,6","0,5","0,5","1,8","1,5",1,"66,7",4,"2,1","52,5","0,4","0,1",25,1,
Junior Ginaldo,Osasco,CBB,Brazilian,Brazil,23,211,C,5,"-0,6","8,6",2,3,"0,8","2,2","0,2","0,2",0,"2,4","1,8","0,6","33,3","1,2","0,4","33,3","0,4","0,2",50,"1,2",
Novaes Gabriel,Pato,NBB,Brazilian,Brazil,23,208,C,33,"14,8","30,4","11,7","6,4",2,"4,4","2,4","0,4","0,5","2,1","2,2","1,6","72,7","5,2","3,1","59,6","3,6","1,3","36,1","1,1",
Rodrigues Yago,Praia,CBB,Brazilian,Brazil,23,208,C,5,"2,8",13,"3,6","3,2","1,4","1,8","0,2","0,4","0,4","2,8","1,4","0,8","57,1",2,"1,4",70,0,0,0,1,
Santana Tarek,Vasco da Gama,NBB,Brazilian,Brazil,23,208,C/F,9,"0,9","2,4","0,7","0,9","0,4","0,4","0,1","0,1","0,1",0,"0,4","0,2",50,"0,7","0,2","28,6",0,0,0,"0,4",
Ludwing Alexandre,Cruzeiro,CBB,Brazilian,Brazil,23,207,F,5,"4,2","11,2","4,6","2,8","0,8",2,"0,6","0,8",0,"1,6","0,6","0,4","66,7","1,4","1,2","85,7","2,4","0,6",25,"0,6",
Bonizioli Honorato,Cerrado,NBB,Brazilian,Brazil,23,206,F/C,27,"0,9",6,"1,5","1,1","0,3","0,9","0,2","0,1","0,1","1,3","0,6","0,3",50,"0,9","0,6","66,7",0,0,0,"0,6",
Lopes Lucas,Brusque,CBB,Brazilian,Brazil,23,206,PF,6,0,"20,3",5,"3,5","1,3","2,2","0,5","0,3","0,5","3,2",1,"0,3",30,3,"1,8",60,"2,2","0,3","13,6",3,
Maciel Matheus,Bauru,NBB,Brazilian,Brazil,23,206,C,37,"6,3","17,8","6,8","4,5","1,4","3,1","0,6","0,1","0,4","2,1","1,9","1,2","63,2","3,5","1,9","54,3",2,"0,6",30,"1,2",
Miranda Ruan,Mazatlan,CIBACOPA,Brazilian,Mexico,23,205,C/F,14,"17,2","27,4","15,9","5,8","2,2","3,6","1,1","0,9","0,4","3,2","5,9","3,6",61,"9,9","5,9","59,6","0,6","0,2","33,3","1,5",
Amorim Samuel,Cearense,NBB,Brazilian,Brazil,23,204,C/F,25,"1,9","8,8","2,4","2,7","1,1","1,6","0,2","0,2","0,1","2,2","0,4","0,2",50,"1,9","1,1","57,9",0,0,0,"0,6",
Nascimento Pyerri,Faraday,D3,Brazilian,,23,204,C,,,,,,,,,,,,,,,,,,,,,,
Dias Tiago,Cerrado,NBB,Brazilian,Brazil,23,203,F,36,"2,5","17,3",4,"2,9","0,8","2,1","0,4","0,1","0,2","1,5","0,2","0,1",50,"2,3",1,"43,5","2,4","0,6",25,"0,5",
Penteado Matheus,Pinda,CBB,Brazilian,Brazil,23,203,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wade Malik,CBU,WAC,Brazilian,USA,23,203,F,23,"1,3","11,4","0,7","2,6","0,8","1,8","0,4","0,2","0,3","1,7","0,2","0,1",50,"0,7","0,3","42,9",0,0,0,"0,6",NCAA 1
Chagas Vinicius,Caxias do Sul,NBB,Brazilian,Brazil,23,202,SF,35,"6,1",17,"6,8","4,1","1,3","2,7","0,7","0,4","0,3","2,1",1,"0,6",60,"4,4","2,3","52,3","1,6","0,5","31,3",1,
Terreni Emanuel,Lissone,Serie C,Brazilian,Italy,23,202,F/C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colimerio Leonardo,Queens NC,A-Sun,Brazilian,USA,23,201,G/F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCAA 1
