,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Renato Ribeiro,1995-09-06,"1,90",BRA,PF,14-15,Maia Basket,POR-1,8,6.4,0.5,9.1%,0.0%,50.0%,0.4,0.4,0.8,0.1,0.8,0.0,0.1,0.5,-1.4
2,Renato Ribeiro,1995-09-06,"1,90",BRA,PF,16-17,Guifoes,POR-2,26,21.7,6.3,49.5%,30.8%,70.8%,1.3,2.5,3.8,0.7,2.7,0.0,0.4,0.9,7.1
3,Renato Ribeiro,1995-09-06,"1,90",BRA,PF,17-18,Dragon Force,POR-2,23,11.7,3.3,42.6%,0.0%,61.3%,1.1,1.3,2.5,0.4,2.2,0.0,0.4,1.0,2.7
4,Renato Ribeiro,1995-09-06,"1,90",BRA,PF,18-19,Dragon Force,POR-2,21,19.4,7.4,54.2%,21.4%,75.0%,1.8,2.7,4.4,1.0,3.2,0.1,0.8,2.0,8.0
5,Renato Ribeiro,1995-09-06,"1,90",BRA,PF,19-20,Sanjoanense,POR-2,18,15.4,5.4,40.0%,40.0%,76.5%,0.6,1.2,1.7,0.6,2.3,0.0,0.1,0.6,2.7
6,Renato Ribeiro,1995-09-06,"1,90",BRA,PF,20-21,Sanjoanense,POR-2,13,19.4,4.6,45.0%,34.3%,75.0%,0.5,1.5,2.0,0.9,1.9,0.1,0.1,1.0,3.2
