,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Pyerri Nascimento,2001-01-09,"2,04",BRA,C,2022,Coritiba,BRA-5,10,9.9,3.2,50.0%,0.0%,40.0%,1.6,2.2,3.8,0.2,1.7,0.3,0.4,0.3,5.0
2,Pyerri Nascimento,2001-01-09,"2,04",BRA,C,2023,Cerrado,BRA-5,11,27.6,12.2,58.1%,14.3%,57.1%,3.0,5.5,8.5,0.8,3.0,0.9,0.6,2.3,14.9
