,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Caio Oliveira,1998-05-22,"2,11",BRA,C,2019,Pato Basquete,BRA-2,8,3.5,0.9,60.0%,0.0%,25.0%,0.5,0.4,0.9,0.0,1.4,0.0,0.0,0.1,0.3
2,Caio Oliveira,1998-05-22,"2,11",BRA,C,19-20,Quimsa,ARG-4,19,18.1,8.6,59.4%,0.0%,59.8%,2.6,3.7,6.3,0.7,2.5,0.6,0.1,1.2,11.8
3,Caio Oliveira,1998-05-22,"2,11",BRA,C,19-20,QUIMSA,ARG-4,1,20.0,13.0,85.7%,0.0%,50.0%,9.0,3.0,12.0,1.0,1.0,1.0,0.0,3.0,25.0
4,Caio Oliveira,1998-05-22,"2,11",BRA,C,2021,Londrina,BRA-2,13,26.6,9.7,60.0%,0.0%,63.2%,3.5,3.6,7.2,0.5,2.7,1.6,0.4,1.8,12.3
5,Caio Oliveira,1998-05-22,"2,11",BRA,C,21-22,GELP,ARG-2,16,7.4,2.3,55.6%,0.0%,50.0%,0.8,1.6,2.3,0.1,1.0,0.4,0.1,0.4,3.2
6,Caio Oliveira,1998-05-22,"2,11",BRA,C,2022,Pato,BRA-5,5,29.2,14.6,53.3%,23.8%,62.5%,2.2,1.2,3.4,1.2,1.6,0.2,0.8,2.4,10.2
7,Caio Oliveira,1998-05-22,"2,11",BRA,C,22-23,Electrico FC,POR-2,22,22.3,9.4,53.5%,0.0%,56.3%,3.0,3.7,6.7,0.4,2.0,0.5,0.4,2.0,11.1
8,Caio Oliveira,1998-05-22,"2,11",BRA,C,23-24,Botafogo,BRA-1,5,8.0,2.8,55.6%,0.0%,50.0%,0.8,1.8,2.6,0.4,1.2,0.0,0.2,0.4,3.4
